source_filename,published_path,bytes,sha256,git_blob_sha1,operation
IMG_6850.jpeg,images/2026-09-11_riemann-xi-research_xt-003e-checkpoint.jpeg,1007946,5b8dab3d475c49c9857a08661429f0d6cfd8aadd9b683371cbdd3fcb081274a1,31f4054f38d50435e07d5694d18d8ab4b219b633,byte_identical_copy
IMG_6849.jpeg,images/2026-09-11_deterministic-news_update.jpeg,561238,10f4ea141b15694a4f75268d8a952beef8dd85ee4e4566d69f86ec3c95cd41f3,df9bf8d60bb3f2484918a7e9d9abc68b07ba44d9,byte_identical_copy
IMG_6848.jpeg,images/2026-09-11_sins-of-the-probabilistic-token_and-di-shield.jpeg,721487,ebd0c6c77b40a1653563f1bc23e4c91bad856bb2a527816e1e82c865c05a548c,e9ddd995c52a1bd377e0639b6123b963337899a3,byte_identical_copy
IMG_6847.jpeg,images/2026-09-11_grounded-di-os_autonomous-replay-demo.jpeg,846297,8d86b0d97f0983727a9b7c127843d2db23bff839520c97eb38ac024a2746d527,8f755bbc96deb512621e590fc96dae46eb133b81,byte_identical_copy
IMG_6846.jpeg,images/2026-09-11_legal-workflow_audit-commentary.jpeg,823707,f3625622fcda7a51b5b26d70bb9f12db87b757ef990903f78c11cf76114c481a,a1848a52cf221843a084d3f843270fedd0a3dfde,byte_identical_copy
IMG_6845.jpeg,images/2026-09-11_ai-safety_engineering-not-revenue.jpeg,471762,97542366aeb0916b33976656e5e75142b709446e99585e313e6654521a756890,a1962438529025972a96aad6e75dbcef17b62ccc,byte_identical_copy
IMG_6844.jpeg,images/2026-09-11_grounded-di_public-evidence-and-harvey-audit.jpeg,384263,871285e958837254c0aceb37e1dadae481d385f55ed4a762cabdff4748ba618f,ee45f772cc2f4d06e4663f734880ad39578c372e,byte_identical_copy
IMG_6843.jpeg,images/2026-09-11_grounded-di-os_autonomous-replay-demo_feed.jpeg,258878,5b3c0f22f44f743556360d39d2bd4bd4722571d3aa9140f3c3b910b06d657883,dbd59cdaee80dd34385266ecbe1037b065237fc1,byte_identical_copy
IMG_6842.png,images/2026-09-11_sins-of-the-probabilistic-token_feed.png,851958,dcd2949da35c8ce0d4fe8b19d98f53b1f6600698004bb14a595440cb3e7f5e42,d20d2d894254ceda06cc9984fa8028187b2bf397,byte_identical_copy
IMG_6841.png,images/2026-09-11_legal-workflow_audit-commentary_feed.png,882605,86b973262ad4b7263907582f72f7d780f63a446ce2bdad436e37aeb1be48ded0,6677880b5e9643de95c7c61fe49cbb509dab0440,byte_identical_copy
